q1,q2,q3,q4,q5,q6,q7,classic,profound,luxury,fancy,warm,soft,simple,comfortable,relax,feminine,romantic,bright,light,dynamic,friendly,pattern1,pattern2,pattern3,color1,color2,style,index
3,3,2,3,2,3,2,4,4,4,4,4,4,1,3,3,3,4,2,2,2,2,casual,romantic,modern,classic,classic,classic,1
5,5,3,4,4,3,2,3,3,4,4,4,2,4,4,4,2,3,5,4,4,4,natural,casual,casual,classic,romantic,casual,2
2,4,2,2,2,1,1,2,3,3,2,2,3,4,4,4,3,3,4,4,2,2,classic,classic,modern,natural,natural,modern,3
5,5,3,5,3,4,2,2,3,4,3,3,3,4,4,4,3,2,4,4,5,3,casual,modern,modern,casual,romantic,casual,4
3,4,2,3,3,3,1,1,2,3,3,3,4,4,4,4,3,3,4,2,3,3,classic,casual,modern,modern,modern,modern,5
4,5,2,5,3,4,2,2,3,4,4,4,3,3,4,3,2,2,5,3,4,4,natural,casual,classic,casual,natural,casual,6
4,2,4,1,4,3,3,4,3,4,3,5,4,2,3,4,5,4,4,2,2,2,classic,romantic,classic,romantic,romantic,romantic,7
2,4,1,2,2,2,1,2,2,4,3,3,3,3,3,4,2,3,4,3,2,3,casual,modern,natural,modern,casual,modern,8
4,2,4,1,4,3,3,2,3,4,4,3,5,2,3,3,5,5,4,3,3,2,romantic,classic,romantic,modern,classic,romantic,9
4,4,3,4,3,2,2,5,4,3,3,4,4,2,4,2,4,3,3,2,2,3,classic,romantic,modern,romantic,classic,classic,10
4,4,2,3,4,2,3,2,2,4,3,3,4,4,4,4,2,2,4,4,3,4,classic,natural,classic,natural,natural,natural,11
4,3,2,4,2,3,2,5,4,3,4,4,4,2,3,4,3,3,3,2,2,3,classic,romantic,modern,romantic,classic,classic,12
3,4,2,3,3,3,3,2,3,4,2,4,3,3,3,4,2,3,4,3,3,2,natural,casual,natural,modern,classic,natural,13
4,5,2,2,4,2,2,2,2,3,2,2,3,3,4,3,2,3,3,4,3,2,romantic,casual,casual,natural,casual,natural,14
4,4,2,3,4,2,3,2,3,4,2,4,3,4,4,3,2,2,3,3,2,3,casual,classic,casual,casual,modern,natural,15
4,4,1,2,3,2,3,3,3,4,2,4,4,4,4,3,2,2,3,4,3,2,natural,romantic,modern,romantic,natural,natural,16
3,4,2,3,2,1,1,2,2,3,2,2,3,4,4,4,3,2,4,3,3,2,classic,modern,modern,natural,modern,modern,17
5,4,2,4,4,3,2,1,3,3,3,3,3,3,4,3,4,3,5,3,4,4,classic,casual,romantic,natural,casual,casual,18
4,5,3,4,4,4,2,2,3,4,4,2,2,4,4,4,2,3,5,4,4,4,natural,romantic,casual,modern,natural,casual,19
3,3,1,1,2,2,2,1,2,3,2,3,3,4,4,3,3,2,3,3,3,3,classic,natural,modern,modern,classic,modern,20
4,5,3,4,4,3,2,2,3,3,3,3,3,4,3,4,3,3,5,5,4,4,natural,modern,romantic,casual,natural,casual,21
5,5,2,2,3,3,3,3,2,3,2,3,3,3,3,4,2,2,4,3,2,2,natural,natural,casual,natural,natural,natural,22
2,4,2,2,2,2,2,2,3,4,2,2,3,3,4,4,3,3,3,3,2,2,modern,natural,modern,modern,modern,modern,23
3,4,2,3,2,3,1,2,2,3,3,3,4,4,4,4,3,2,4,3,2,3,natural,natural,romantic,natural,modern,modern,24
